YML052W,YPL034W,YDR541C,YDR051C
YGL121C,YOR161C,YDR178W,YCR106W
YPL193W,YNL226W,YLR205C,YDR143C
YDL146W,YFL021W,YGR092W,YJL168C
YKL146W,YPL226W,YGL085W,YCR033W
YKL039W,YHR059W,YLR384C,YKR035C
YGR198W,YML094W,YGL242C,YEL058W
YLR136C,YDR036C,YDR075W,YGR141W
YLR204W,YBR035C,YPL026C,YIR037W
YHR044C,YDL064W,YMR020W,YDR246W
YJL210W,YPL221W,YPL244C,YJR064W
YML035C,YOR361C,YHR110W,YDR299W
YJR135C,YMR302C,YPR093C,YNL241C
YBR266C,YJL095W,YGL055W,YLR374C
YKL147C,YDR296W,YPL141C,YDR201W
YDL246C,YMR080C,YLR332W,YOR292C
YMR064W,YDR190C,YKR005C,YGR028W
YPL070W,YGR278W,YJR109C,YKL143W
YIL129C,YLR229C,YKL042W,YDR482C
YLR225C,YEL041W,YDR152W,YLR150W
YGL227W,YLR025W,YBR072W,YDR130C
YKL126W,YIL007C,YGL035C,YPL086C
YNL077W,YIR040C,YIL122W,YFR054C
YDR288W,YDR291W,YDL203C,YER176W
YML041C,YJL199C,YCL005W,YML020W
YLR424W,YCR093W,YBL074C,YER128W
YKR080W,YGL071W,YFR051C,YPR091C
YBR264C,YLR112W,YDR319C,YMR241W
YPR171W,YGL073W,YFL060C,YNL298W
YCL025C,YOL056W,YBL030C,YNL075W
YGR103W,YDR480W,YBL044W,YGL114W
YDL144C,YGL175C,YKL101W,YMR263W
YLR245C,YMR190C,YOL011W,YJR115W
YCR024C,YKL173W,YDR409W,YLR187W
YHL003C,YNR061C,YNL277W-A,YIL049W
YBR111W-A,YMR246W,YKL152C,YOL043C
YDL129W,YCR028C-A,YHR034C,YDR251W
YGR161C,YDR337W,YPR118W,YDR138W
YLR064W,YOL147C,YDL245C,YLR241W
YNL085W,YML077W,YBR215W,YCR015C
YDR478W,YGR016W,YGR084C,YJR010C-A
YPR071W,YLR198C,YGR152C,YGR089W
YER048C,YJL026W,YNL201C,YDL238C
YGL256W,YBR281C,YDR135C,YDR366C
YPR169W,YPR069C,YHR013C,YDR436W
YJL213W,YOR267C,YNR071C,YGR129W
YLR274W,YBR150C,YJL151C,YGR037C
YBL056W,YKL106W,YNR018W,YMR163C
YBR050C,YLR263W,YER106W,YGR057C
YPL093W,YLL014W,YDR489W,YDR330W
YDR080W,YDL237W,YDL005C,YPL212C
YGR146C,YOR031W,YOR033C,YPL066W
YOL098C,YKR105C,YMR059W,YMR313C
YPR188C,YKR029C,YDR218C,YIL052C
YDL190C,YDL225W,YOR124C,YGR158C
YHR026W,YKL080W,YNL106C,YPL191C
YDR255C,YMR289W,YPL014W,YHR097C
YNL050C,YKL119C,YOL051W,YCL030C
YGR097W,YPR096C,YBR222C,YIL027C
YOR355W,YIL149C,YHR189W,YDR280W
YDR305C,YNR068C,YKL092C,YDR166C
YEL006W,YEL019C,YKR020W,YJL162C
YMR010W,YKR034W,YBR223C,YPL218W
YCR003W,YNL118C,YOL124C,YGL220W
YNL119W,YOR035C,YFL005W,YLR325C
YDR405W,YDR119W,YPL146C,YPL205C
YDL092W,YDL015C,YBL108W,YJL222W-A
YBR230C,YGR250C,YDL030W,YHR149C
YJR086W,YNR065C,YER022W,YJL225C
YER104W,YOR020C,YJL010C,YHR040W
YFR055W,YAL063C-A,YLR438C-A,YKL023W
YGR035C,YJR072C,YLR068W,YDR038C
YOR269W,YGL138C,YPR162C,YFL002W-B
YIL153W,YGR062C,YJL071W,YPR189W
YDL229W,YOR236W,YAL042W,YPL155C
YDR137W,YDR092W,YML021C,YNR058W
YDR377W,YDR329C,YJL133W,YNL194C
YFL048C,YMR023C,YDL150W,YNL318C
YOR027W,YKL154W,YDL054C,YDR510W
YAL059W,YBL004W,YBR110W,YJR015W
YJL025W,YGR218W,YDR067C,YNL331C
YBL058W,YOL004W,YGR210C,YHR004C
YKL082C,YGL183C,YER164W,YLR457C
YCR022C,YDR292C,YLR452C,YAL036C
YHR206W,YKL160W,YGR130C,YMR300C
YOR298C-A,YOL058W,YDR438W,YLR072W
YNL188W,YER145C,YOR320C,YNL225C
YHR082C,YGR040W,YOR056C,YOL151W
YEL008W,YER159C,YOR179C,YNL204C
YHL002W,YDR155C,YHL023C,YNL339C
